,Country,Direct_flights_count
0,Afghanistan,43
1,Albania,36
2,Algeria,221
3,American Samoa,1
4,Angola,78
5,Anguilla,6
6,Antigua and Barbuda,35
7,Argentina,255
8,Armenia,46
9,Aruba,44
10,Australia,1113
11,Austria,388
12,Azerbaijan,72
13,Bahamas,147
14,Bahrain,84
15,Bangladesh,104
16,Barbados,23
17,Belarus,54
18,Belgium,412
19,Belize,39
20,Benin,41
21,Bermuda,15
22,Bhutan,5
23,Bolivia,104
24,Bosnia and Herzegovina,23
25,Botswana,22
26,Brazil,1398
27,British Virgin Islands,16
28,Brunei,23
29,Bulgaria,89
30,Burkina Faso,35
31,Burma,104
32,Burundi,13
33,Cambodia,72
34,Cameroon,72
35,Canada,1850
36,Cape Verde,58
37,Cayman Islands,29
38,Central African Republic,3
39,Chad,9
40,Chile,157
41,China,8160
42,Christmas Island,2
43,Cocos (Keeling) Islands,1
44,Colombia,357
45,Comoros,10
46,Congo (Brazzaville),44
47,Congo (Kinshasa),65
48,Cook Islands,21
49,Costa Rica,126
50,Cote d'Ivoire,49
51,Croatia,204
52,Cuba,96
53,Cyprus,149
54,Czech Republic,192
55,Denmark,309
56,Djibouti,23
57,Dominica,17
58,Dominican Republic,164
59,East Timor,4
60,Ecuador,97
61,Egypt,307
62,El Salvador,53
63,Equatorial Guinea,16
64,Eritrea,8
65,Estonia,41
66,Ethiopia,130
67,Falkland Islands,1
68,Faroe Islands,4
69,Fiji,69
70,Finland,219
71,France,1930
72,French Guiana,7
73,French Polynesia,110
74,Gabon,25
75,Gambia,13
76,Georgia,48
77,Germany,2352
78,Ghana,64
79,Gibraltar,6
80,Greece,787
81,Greenland,80
82,Grenada,14
83,Guadeloupe,33
84,Guam,35
85,Guatemala,40
86,Guernsey,20
87,Guinea,18
88,Guinea-Bissau,7
89,Guyana,9
90,Haiti,27
91,Honduras,67
92,Hong Kong,355
93,Hungary,100
94,Iceland,53
95,India,1507
96,Indonesia,835
97,Iran,431
98,Iraq,76
99,Ireland,295
100,Isle of Man,11
101,Israel,147
102,Italy,1775
103,Jamaica,75
104,Japan,1286
105,Jersey,38
106,Jordan,113
107,Kazakhstan,208
108,Kenya,201
109,Kiribati,7
110,Kuwait,120
111,Kyrgyzstan,76
112,Laos,50
113,Latvia,101
114,Lebanon,67
115,Lesotho,1
116,Liberia,18
117,Libya,87
118,Lithuania,80
119,Luxembourg,70
120,Macau,79
121,Macedonia,24
122,Madagascar,67
123,Malawi,17
124,Malaysia,565
125,Maldives,57
126,Mali,28
127,Malta,113
128,Marshall Islands,7
129,Martinique,23
130,Mauritania,19
131,Mauritius,42
132,Mayotte,15
133,Mexico,1061
134,Micronesia,9
135,Moldova,34
136,Mongolia,34
137,Montenegro,27
138,Morocco,310
139,Mozambique,61
140,Namibia,32
141,Nauru,3
142,Nepal,53
143,Netherlands,570
144,Netherlands Antilles,101
145,New Caledonia,36
146,New Zealand,218
147,Nicaragua,15
148,Niger,17
149,Nigeria,126
150,Niue,1
151,Norfolk Island,3
152,North Korea,5
153,Northern Mariana Islands,12
154,Norway,646
155,Oman,112
156,Pakistan,282
157,Palau,10
158,Panama,123
159,Papua New Guinea,163
160,Paraguay,22
161,Peru,182
162,Philippines,395
163,Poland,363
164,Portugal,530
165,Puerto Rico,116
166,Qatar,189
167,Reunion,22
168,Romania,178
169,Russia,1843
170,Rwanda,41
171,Saint Kitts and Nevis,19
172,Saint Lucia,30
173,Saint Pierre and Miquelon,3
174,Saint Vincent and the Grenadines,4
175,Samoa,5
176,Sao Tome and Principe,3
177,Saudi Arabia,552
178,Senegal,70
179,Serbia,107
180,Seychelles,14
181,Sierra Leone,22
182,Singapore,408
183,Slovakia,26
184,Slovenia,33
185,Solomon Islands,57
186,Somalia,32
187,South Africa,269
188,South Korea,589
189,South Sudan,12
190,Spain,2531
191,Sri Lanka,115
192,Sudan,52
193,Suriname,10
194,Swaziland,1
195,Sweden,473
196,Switzerland,429
197,Taiwan,414
198,Tajikistan,96
199,Tanzania,76
200,Thailand,605
201,Togo,20
202,Tonga,5
203,Trinidad and Tobago,39
204,Tunisia,200
205,Turkey,978
206,Turkmenistan,15
207,Turks and Caicos Islands,38
208,Tuvalu,1
209,Uganda,36
210,Ukraine,213
211,United Arab Emirates,751
212,United Kingdom,2663
213,United States,13094
214,Uruguay,26
215,Uzbekistan,141
216,Vanuatu,96
217,Venezuela,192
218,Vietnam,288
219,Virgin Islands,44
220,Wallis and Futuna,4
221,Western Sahara,7
222,Yemen,93
223,Zambia,55
224,Zimbabwe,37
