,Source_airport,Destination_airport
0,AAE,9
1,AAL,20
2,AAN,2
3,AAQ,3
4,AAR,8
5,AAT,2
6,AAX,1
7,AAY,1
8,ABA,4
9,ABB,2
10,ABD,6
11,ABE,13
12,ABI,2
13,ABJ,49
14,ABL,4
15,ABM,1
16,ABQ,42
17,ABR,1
18,ABS,1
19,ABT,3
20,ABV,30
21,ABX,4
22,ABY,4
23,ABZ,41
24,ACA,8
25,ACC,54
26,ACE,116
27,ACH,2
28,ACI,2
29,ACK,6
30,ACR,2
31,ACT,2
32,ACU,1
33,ACV,3
34,ACX,6
35,ACY,10
36,ACZ,1
37,ADA,17
38,ADB,66
39,ADD,105
40,ADE,23
41,ADF,2
42,ADK,1
43,ADL,51
44,ADQ,11
45,ADU,3
46,ADZ,11
47,AEB,3
48,AEP,65
49,AER,26
50,AES,13
51,AET,3
52,AEX,6
53,AEY,1
54,AFA,2
55,AFL,1
56,AFZ,1
57,AGA,28
58,AGB,1
59,AGF,2
60,AGH,3
61,AGM,5
62,AGN,1
63,AGP,206
64,AGR,2
65,AGS,7
66,AGT,4
67,AGU,9
68,AGX,1
69,AHB,15
70,AHE,2
71,AHN,1
72,AHO,31
73,AHU,1
74,AIA,3
75,AIN,2
76,AIT,3
77,AIU,1
78,AJA,39
79,AJF,2
80,AJI,2
81,AJL,6
82,AJR,2
83,AJU,13
84,AKB,1
85,AKF,3
86,AKI,3
87,AKJ,7
88,AKK,1
89,AKL,96
90,AKN,7
91,AKP,3
92,AKU,6
93,AKV,2
94,AKX,7
95,AKY,3
96,ALA,67
97,ALB,31
98,ALC,157
99,ALF,10
100,ALG,88
101,ALH,3
102,ALO,2
103,ALS,6
104,ALW,1
105,AMA,10
106,AMD,35
107,AMH,1
108,AMM,111
109,AMQ,14
110,AMS,453
111,ANC,59
112,ANF,11
113,ANG,1
114,ANI,12
115,ANM,3
116,ANR,2
117,ANS,1
118,ANU,35
119,ANV,3
120,ANX,3
121,AOE,1
122,AOG,3
123,AOI,10
124,AOJ,5
125,AOK,6
126,AOO,2
127,AOQ,1
128,AOR,5
129,AOS,1
130,APF,1
131,APL,9
132,APN,2
133,APO,4
134,APW,5
135,AQA,1
136,AQG,7
137,AQI,2
138,AQJ,2
139,AQP,10
140,ARC,1
141,ARH,9
142,ARI,5
143,ARK,1
144,ARM,2
145,ARN,218
146,ART,4
147,ARU,2
148,ARW,1
149,ASB,15
150,ASE,2
151,ASF,8
152,ASJ,2
153,ASM,7
154,ASO,1
155,ASP,11
156,ASR,7
157,ASU,18
158,ASV,2
159,ASW,4
160,ATA,1
161,ATC,3
162,ATD,1
163,ATH,197
164,ATK,2
165,ATL,915
166,ATM,4
167,ATQ,9
168,ATT,2
169,ATW,9
170,ATY,3
171,ATZ,6
172,AUA,44
173,AUC,2
174,AUG,1
175,AUH,241
176,AUK,2
177,AUQ,4
178,AUR,1
179,AUS,83
180,AUU,2
181,AUX,4
182,AUY,1
183,AVA,4
184,AVL,12
185,AVN,2
186,AVP,9
187,AVV,1
188,AWD,2
189,AWZ,24
190,AXA,6
191,AXD,3
192,AXK,1
193,AXM,2
194,AXP,2
195,AXR,1
196,AXT,8
197,AXU,2
198,AYP,2
199,AYQ,4
200,AYT,127
201,AZA,32
202,AZD,7
203,AZI,4
204,AZN,3
205,AZO,6
206,AZR,6
207,AZS,6
208,BAH,84
209,BAL,3
210,BAQ,10
211,BAV,29
212,BAX,3
213,BAY,2
214,BAZ,1
215,BBA,4
216,BBI,9
217,BBK,4
218,BBN,2
219,BBO,7
220,BCD,6
221,BCI,1
222,BCN,391
223,BCV,5
224,BDA,15
225,BDB,2
226,BDH,2
227,BDJ,15
228,BDL,51
229,BDO,21
230,BDP,1
231,BDQ,5
232,BDS,22
233,BDU,1
234,BEB,2
235,BEG,86
236,BEJ,3
237,BEL,36
238,BEN,25
239,BES,17
240,BET,29
241,BEU,2
242,BEW,7
243,BEY,67
244,BFD,2
245,BFF,1
246,BFI,2
247,BFJ,8
248,BFL,6
249,BFN,4
250,BFQ,1
251,BFS,36
252,BFV,1
253,BGA,5
254,BGF,3
255,BGG,2
256,BGI,23
257,BGM,4
258,BGO,69
259,BGR,8
260,BGW,14
261,BGY,81
262,BHB,1
263,BHD,21
264,BHE,3
265,BHH,3
266,BHI,4
267,BHJ,2
268,BHK,6
269,BHM,36
270,BHO,6
271,BHQ,4
272,BHR,1
273,BHS,2
274,BHU,2
275,BHV,5
276,BHX,133
277,BHY,20
278,BIA,36
279,BIK,4
280,BIL,12
281,BIM,2
282,BIO,65
283,BIQ,14
284,BIR,1
285,BIS,6
286,BJA,6
287,BJB,1
288,BJF,5
289,BJI,1
290,BJL,13
291,BJM,13
292,BJR,2
