,City,Direct_flights_count
0,Herat,6
1,Kabul,28
2,Kandahar,5
3,Mazar-i-sharif,4
4,Tirana,36
5,Adrar,6
6,Algier,88
7,Annaba,9
8,Batna,4
9,Bejaja,6
10,Biskra,4
11,Bordj Badji Mokhtar,1
12,Béchar,1
13,Constantine,16
14,Djanet,2
15,Ech-cheliff,1
16,El Bayadh,1
17,El Golea,2
18,Ghardaia,4
19,Ghriss,2
20,Guemar,1
21,Hassi Messaoud,6
22,In Salah,2
23,Mecheria,1
24,Oran,34
25,Ouargla,5
26,Setif,8
27,Tamanrasset,4
28,Tebessa,1
29,Tiaret,1
30,Tilrempt,2
31,Tlemcen,6
32,Touggourt,1
33,Zarzaitine,2
34,Pago Pago,1
35,Cabinda,3
36,Catumbela,2
37,Huambo,3
38,Kuito,2
39,Luanda,46
40,Lubango,3
41,Luena,1
42,M'banza-congo,1
43,Malanje,2
44,Menongue,3
45,Mocamedes,1
46,Ondjiva,6
47,Saurimo,2
48,Soyo,3
49,The Valley,6
50,Antigua,35
51,Bahia Blanca,4
52,Buenos Aires,140
53,Catamarca,1
54,Comodoro Rivadavia,6
55,Cordoba,13
56,El Calafate,4
57,Esquel,3
58,Formosa,1
59,Iguazu Falls,4
60,Jujuy,2
61,La Rioja,1
62,Mar Del Plata,3
63,Mendoza,10
64,Neuquen,6
65,Parana,2
66,Posadas,1
67,Puerto Madryn,1
68,Resistencia,1
69,Rio Gallegos,6
70,Rio Grande,2
71,Rio Hondo,1
72,Rosario,7
73,Salta,6
74,San Carlos De Bariloche,7
75,San Juan,2
76,San Luis,1
77,San Martin Des Andes,1
78,San Rafael,2
79,Santa Fe,2
80,Santa Rosa,1
81,Santiago Del Estero,1
82,Trelew,6
83,Tucuman,2
84,Ushuaia,4
85,Viedma,1
86,Gyumri,1
87,Yerevan,45
88,Oranjestad,44
89,Adelaide,51
90,Albany,3
91,Albury,4
92,Alice Springs,11
93,Amberley,1
94,Argyle,1
95,Armidale,2
96,Aurukun,2
97,Avalon,1
98,Ballina Byron Bay,5
99,Barcaldine,1
100,Bathurst,2
101,Bedourie,2
102,Birdsville,2
103,Blackall,1
104,Boulia,2
105,Brisbane,152
106,Broken Hill,4
107,Broome,12
108,Brusselton,3
109,Bundaberg,2
110,Burketown,2
111,Burnie,3
112,Cairns,56
113,Canberra,13
114,Ceduna,1
115,Charlieville,4
116,Cloncurry,5
117,Coen,1
118,Coff's Harbour,4
119,Coober Pedy,1
120,Coolangatta,28
121,Cunnamulla,2
122,Darwin,46
123,Derby,2
124,Devonport,1
125,Doomadgee,3
126,Dubbo,3
127,Elcho Island,1
128,Emerald,2
129,Esperance,3
130,Flinders Island,1
131,Geraldton,3
132,Gladstone,4
133,Gove,4
134,Grafton,1
135,Griffith,2
136,Groote Eylandt,4
137,Hamilton Island,7
138,Hervey Bay,2
139,Hobart,9
140,Horn Island,1
141,Julia Creek,2
142,Kalgoorlie,5
143,Karratha,7
144,King Island,2
145,Kingscote,1
146,Kowanyama,2
147,Kununurra,8
148,Launceston,8
149,Learmonth,3
150,Lismore,1
151,Lockhart River,2
152,Longreach,2
153,Lord Howe Island,3
154,Mackay,7
155,Maningrida,3
156,Maroochydore,5
157,McArthur River Mine,1
158,Melbourne,138
159,Merimbula,3
160,Mildura,6
161,Milingimbi,1
162,Moranbah,3
163,Moree,1
164,Mornington Island,3
165,Moruya,2
166,Mount Gambier,2
167,Mount Isa,13
168,Narrandera,2
169,Newcastle,8
170,Newman,2
171,Normanton,2
172,Olympic Dam,1
173,Orange,1
174,Paraburdoo,3
175,Parkes,2
176,Perth,92
